P (kW);Date;Time Frame;(Ta)¡C;Tm (¡C);I3 (W/m2);I15 (W/m2);;
0;8/31/13 8:57 AM;8;0;0;0;0;;
0;8/31/13 9:57 AM;9;0;0;0;0;;
0;8/31/13 10:57 AM;10;0;0;0;0;;
0;8/31/13 11:57 AM;11;0;0;0;0;;
0;8/31/13 12:57 PM;12;0;0;0;0;;
0;8/31/13 1:57 PM;13;0;0;0;0;;
0;8/31/13 2:57 PM;14;0;0;0;0;;
0;8/31/13 3:57 PM;15;0;0;0;0;;
0;8/31/13 4:57 PM;16;0;0;0;0;;
0;8/31/13 5:57 PM;17;0;0;0;0;;
0;8/31/13 6:57 PM;18;0;0;0;0;;
0;8/31/13 7:57 PM;19;0;0;0;0;;
0;8/31/13 8:57 PM;20;0;0;0;0;;
0;8/31/13 9:57 PM;21;0;0;0;0;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0;9/1/13 4:57 AM;4;17,94866667;13,99366667;0;1,147446809;;
7,319966667;9/1/13 5:57 AM;5;17,68533333;13,81966667;16,27566667;19,63316667;;
107,7662;9/1/13 6:57 AM;6;19,65583333;18,66183333;152,6168333;181,2481667;;
289,5785333;9/1/13 7:57 AM;7;23,14633333;28,78866667;355,3366667;416,237;;
350,2599667;9/1/13 8:57 AM;8;25,54533333;35,3535;417,6888333;523,711;;
434,7508667;9/1/13 9:57 AM;9;27,86833333;39,667;573,5355;514,0151667;;
620,3773167;9/1/13 10:57 AM;10;29,55983333;47,61966667;809,5173333;761,726;;
452,5468167;9/1/13 11:57 AM;11;30,1145;42,65933333;626,278;542,469;;
363,6862667;9/1/13 12:57 PM;12;29,01366667;35,16066667;449,3153333;483,6931667;;
326,3714;9/1/13 1:57 PM;13;28,67316667;34,4735;406,6158333;423,1261667;;
239,4615;9/1/13 2:57 PM;14;28,4405;31,77133333;302,3608333;309,6441667;;
227,8369167;9/1/13 3:57 PM;15;28,369;31,60816667;292,986;293,1476667;;
121,7083333;9/1/13 4:57 PM;16;27,35083333;28,68233333;154,8566667;151,9451667;;
29,52948333;9/1/13 5:57 PM;17;25,81766667;24,99416667;39,1035;41,054;;
0,596216667;9/1/13 6:57 PM;18;24,77583333;23,0495;0,443833333;1,289;;
0;9/1/13 7:27 PM;19;24,55166667;22,48966667;0;0,58;;
0;41283,85208;20;0;0;0;0;;
0;41283,89375;21;0;0;0;0;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0;41314,20625;4;0;0;0;0;;
0;9/2/13 5:57 AM;5;20,6312;17,374;0;0;;
